ID,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain
5524,Single,58138,0,0,58,635,88,546,172,88,88,3,8,10,4,7,0
2174,Single,46344,1,1,38,11,1,6,2,1,6,2,1,1,2,5,0
4141,Together,71613,0,0,26,426,49,127,111,21,42,1,8,2,10,4,0
6182,Together,26646,1,0,26,11,4,20,10,3,5,2,2,0,4,6,0
5324,Married,58293,1,0,94,173,43,118,46,27,15,5,5,3,6,5,0
7446,Together,62513,0,1,16,520,42,98,0,42,14,2,6,4,10,6,0
965,Divorced,55635,0,1,34,235,65,164,50,49,27,4,7,3,7,6,0
6177,Married,33454,1,0,32,76,10,56,3,1,23,2,4,0,4,8,0
4855,Together,30351,1,0,19,14,0,24,3,3,2,1,3,0,2,9,0
5899,Together,5648,1,1,68,28,0,6,1,1,13,1,1,0,0,20,0
387,Married,7500,0,0,59,6,16,11,11,1,16,1,2,0,3,8,0
2125,Divorced,63033,0,0,82,194,61,480,225,112,30,1,3,4,8,2,0
8180,Divorced,59354,1,1,53,233,2,53,3,5,14,3,6,1,5,6,0
2569,Married,17323,0,0,38,3,14,17,6,1,5,1,1,0,3,8,0
2114,Single,82800,0,0,23,1006,22,115,59,68,45,1,7,6,12,3,0
9736,Married,41850,1,1,51,53,5,19,2,13,4,3,3,0,3,8,0
4939,Together,37760,0,0,20,84,5,38,150,12,28,2,4,1,6,7,0
6565,Married,76995,0,1,91,1012,80,498,0,16,176,2,11,4,9,5,0
2278,Single,33812,1,0,86,4,17,19,30,24,39,2,2,1,3,6,0
9360,Married,37040,0,0,41,86,2,73,69,38,48,1,4,2,5,8,0
1993,Married,58607,0,1,63,867,0,86,0,0,19,3,2,3,9,8,0
4047,Married,65324,0,1,0,384,0,102,21,32,5,3,6,2,9,4,0
1409,Together,40689,0,1,69,270,3,27,39,6,99,7,7,1,5,8,0
7892,Single,18589,0,0,89,6,4,25,15,12,13,2,2,1,3,7,0
