item_id,asin,brand,rating,totalReviews,price,originalPrice
i0001,B0000SX2UC,,3,14,0,0
i0002,B0009N5L7K,Motorola,3,7,49.95,0
i0003,B000SKTZ0S,Motorola,2.7,22,99.99,0
i0004,B001AO4OUC,Motorola,3.3,21,0,0
i0005,B001DCJAJG,Motorola,3.1,12,149.99,0
i0006,B001GQ3DJM,Nokia,2.7,3,0,0
i0007,B0029F2O3A,Samsung,3,29,0,0
i0008,B002AS9WEA,Samsung,2.9,18,0,0
i0009,B002UHS0UI,Motorola,2.7,208,0,0
i0010,B002WTC1NG,Motorola,3.6,352,139.99,0
i0011,B0033SFV5A,Samsung,3.3,57,64.99,0
i0012,B003FCO9XE,Samsung,2.6,78,99.99,0
i0013,B003P2VNAQ,Samsung,3.6,70,179,0
i0014,B003W646YK,Motorola,2.9,3,79,0
i0015,B003XREZ4O,Samsung,3.4,16,99.99,0
i0016,B0046REOWS,Samsung,3.6,22,64.94,0
i0017,B004C7NVD0,Samsung,3.2,107,199.99,0
i0018,B004GLQTG8,Samsung,3.5,146,79.99,0
i0019,B004H23JXW,Samsung,3.4,349,0,0
i0020,B004MK9VLS,Nokia,3,7,0,0
i0021,B004YBP8EY,Samsung,3.1,23,0,0
i0022,B005B3OXWC,Samsung,3.1,32,0,0
i0023,B006OU39QW,Samsung,4.1,252,0,0
i0024,B006VH79R8,Samsung,3.7,84,14.99,0
i0025,B00727AODC,Samsung,3.1,123,0,0
i0026,B007LU0HU0,Samsung,2.5,10,249.99,0
i0027,B007X6FFLS,Samsung,3.4,305,97.69,0
i0028,B0081TDISI,Motorola,2.8,10,0,0
i0029,B00836Y6B2,Nokia,3.2,929,109.98,0
i0030,B008PAW5EQ,Samsung,3.7,74,0,0
i0031,B0096DERAG,Motorola,1,1,499.95,0
i0032,B0096QYH80,Motorola,3,488,349.99,0
i0033,B009LRMQTG,Motorola,3.9,196,99.99,0
i0034,B00A2V7BA4,Nokia,3.4,468,209.67,0
i0035,B00A2V7ULY,Nokia,3,45,184.18,0
i0036,B00A408AF8,Samsung,2.9,8,389.28,0
i0037,B00A7F57EM,Nokia,3.4,62,204.16,0
i0038,B00A7F5M9W,Nokia,3.6,23,0,0
i0039,B00ACZ0DUA,Nokia,3,74,182.25,0
i0040,B00B5081MI,Samsung,2.4,49,114.99,0
i0041,B00BV1MVJ0,Samsung,3.8,1,144.71,0
i0042,B00CEKXJ3Y,Samsung,3.5,561,0,0
i0043,B00CEKXZA6,Samsung,3.8,354,0,0
i0044,B00CGIULGC,Samsung,3.2,365,0,0
i0045,B00CQAODG4,Nokia,3.2,349,0,0
i0046,B00CS2ZWKQ,Nokia,3.2,94,0,0
i0047,B00D35Z6OE,HUAWEI,3.1,36,27.9,0
i0048,B00D99ZBR6,Samsung,3.5,314,89,0
i0049,B00E45043A,Nokia,3.8,4,59.99,0
i0050,B00E6FGSHY,Samsung,3.7,641,154.97,0
i0051,B00E8TGT1S,Nokia,2.1,5,0,0
i0052,B00EP2BN00,Samsung,3.4,340,0,0
i0053,B00F1HVZ0Q,Samsung,3.7,111,229.99,0
i0054,B00F2SKPIM,Samsung,3.9,983,0,0
i0055,B00F3JPKCG,Nokia,2.7,46,54.99,0
i0056,B00F9RRVUG,Samsung,3.5,299,102,0
i0057,B00FTV382C,Samsung,3.4,85,299,0
i0058,B00G9G0HTI,Samsung,4,10,79,0
i0059,B00HE5834Y,Motorola,3.5,30,249.99,0
i0060,B00HPP3QD6,Motorola,4,773,64.99,0
i0061,B00HWEMZ1E,Nokia,3.8,159,233.71,0
i0062,B00I2KY5TM,Nokia,3.5,13,159.99,0
i0063,B00IZ1X21K,Samsung,3.7,5,269.99,0
i0064,B00JEHJMG8,Samsung,3.3,135,0,0
i0065,B00JH2WF0K,Samsung,3.2,81,0,0
i0066,B00JH2WPO6,Samsung,3.8,22,0,0
i0067,B00JS73V2U,Motorola,4.1,263,0,0
i0068,B00JYR6GGM,Samsung,3.3,262,0,0
i0069,B00K0NS0P4,Motorola,4,1,209.75,0
i0070,B00KM10ITK,Nokia,3.5,693,103.98,0
i0071,B00LAEA84S,Samsung,3.2,627,0,0
i0072,B00LIYEMTC,Sony,3.2,5,606.3,0
i0073,B00MWI4HW0,Motorola,4.1,3,99,0
i0074,B00MWI4KKE,Motorola,3.5,428,0,0
i0075,B00N532A34,Samsung,3.1,113,0,0
i0076,B00N532DU4,Samsung,3.2,106,0,0
i0077,B00NKR9MJA,Samsung,3.2,227,259.98,0
i0078,B00NKRE7MW,Samsung,3.4,1,0,0
i0079,B00NO2WXM4,Motorola,3.9,124,0,0
i0080,B00O15MWOM,Nokia,3.2,378,133.28,0
i0081,B00O2ALRNS,Samsung,2.8,175,154.97,0
i0082,B00O2SW2IY,Motorola,3.1,31,74.98,0
i0083,B00OEK6TWU,Samsung,3.6,431,194,0
i0084,B00OZTSY6Y,Motorola,3.6,545,149.99,0
i0085,B00PLBFPAS,Nokia,3.3,14,129.99,0
i0086,B00QFZOYFG,Samsung,3.3,4,119.99,0
